BinCenter_HU,PixelCount,MeanPred_HU
-1011.5,108326790.0,-980.2405943031835
-986.5,63773187.0,-977.7630456794358
-961.5,34992110.0,-946.7684514024735
-936.5,41905467.0,-930.4507489096741
-911.5,38080256.0,-913.3648779054612
-886.5,23771967.0,-897.1909851300605
-861.5,17979050.0,-882.2920191083355
-836.5,12931271.0,-866.626651647496
-811.5,8962811.0,-849.3062616182144
-786.5,6153836.0,-829.9888572852728
-761.5,4301469.0,-807.9175718768166
-736.5,3137777.0,-782.9247989813188
-711.5,2407275.0,-755.5433965187252
-686.5,1939834.0,-726.8698595894537
-661.5,1624043.0,-698.0287981059028
-636.5,1404542.0,-669.766177022688
-611.5,1239695.0,-642.0706401995532
-586.5,1116927.0,-615.1670066735592
-561.5,1023417.0,-588.3771465872483
-536.5,943062.0,-561.9748052247812
-511.5,882355.0,-534.6417501365918
-486.5,831351.0,-506.42166159202776
-461.5,797400.0,-476.8982928677289
-436.5,779854.0,-445.0153480146698
-411.5,781389.0,-410.25246467781267
-386.5,809733.0,-371.3060276509247
-361.5,875953.0,-329.28318009964545
-336.5,995447.0,-284.8685985138848
-311.5,1204919.0,-240.98332243556803
-286.5,1555477.0,-201.53249570770106
-261.5,2132879.0,-169.81383234427548
-236.5,3062338.0,-146.40924176065758
-211.5,4509843.0,-130.17217653209917
-186.5,6626563.0,-118.61266617552279
-161.5,9449163.0,-109.46826204739368
-136.5,15690863.0,-104.09339323080633
-111.5,32972315.0,-99.51348660806289
-86.5,29782682.0,-82.14245000028703
-61.5,22497902.0,-57.48247772848276
-36.5,21385066.0,-33.54698857034056
-11.5,22037069.0,-10.28907298151515
13.5,23720463.0,11.079583361289359
38.5,26446250.0,30.424903106040645
63.5,23003218.0,44.92578972360691
88.5,16255628.0,58.70080402696798
113.5,12750198.0,74.99816180103102
138.5,8213242.0,88.43316428209286
163.5,5789757.0,111.1856265142313
188.5,4161909.0,138.50244849413815
213.5,2918187.0,167.88687730231442
238.5,2167580.0,201.1039133210033
263.5,1717158.0,236.05792570014333
288.5,1427374.0,269.72960434602544
313.5,1215060.0,300.907039463118
338.5,1040238.0,329.7877843705942
363.5,889650.0,357.38290258998995
388.5,763529.0,384.274253490419
413.5,660387.0,411.0837864118363
438.5,575677.0,437.47142970562913
463.5,502491.0,464.3083814325215
488.5,448281.0,490.3524055864485
513.5,404719.0,517.0380700089316
538.5,367554.0,542.6225485894404
563.5,335258.0,568.0528453805991
588.5,306823.0,593.2457814729486
613.5,282023.0,618.4276271664016
638.5,260259.0,643.9438559818375
663.5,237504.0,667.6795187590097
688.5,219030.0,692.5825351011642
713.5,203713.0,716.9372891539205
738.5,187653.0,740.9396981246246
763.5,174636.0,765.8204184999861
788.5,162293.0,790.6014504210057
813.5,150501.0,814.870560511891
838.5,139620.0,839.5999312394944
863.5,129132.0,863.3519410283815
888.5,120565.0,886.6021661170153
913.5,112535.0,911.3941164094434
938.5,104543.0,935.4168660157941
963.5,96847.0,960.1499054835184
988.5,90013.0,983.5019088558139
1013.5,84059.0,1007.4170066847927
1038.5,77531.0,1031.964267923438
1063.5,71673.0,1055.638758681464
1088.5,65934.0,1078.863097334543
1113.5,60569.0,1103.5417752284745
1138.5,54945.0,1127.3308720541386
1163.5,49769.0,1151.4211328309445
1188.5,44958.0,1175.4598014163262
1213.5,40395.0,1198.1710298243806
1238.5,35524.0,1220.8092617279317
1263.5,31649.0,1244.3518273565924
1288.5,27130.0,1267.117945870253
1313.5,23303.0,1290.071137578601
1338.5,19604.0,1311.171791697784
1363.5,16647.0,1336.0133181006127
1388.5,14391.0,1356.7546474045125
1413.5,12232.0,1383.71034958255
1438.5,10415.0,1406.568045660743
1463.5,8728.0,1430.3095408578622
1488.5,7482.0,1457.3069683157546
1513.5,5830.0,1482.4492092021333
1538.5,4541.0,1505.465972329152
1563.5,3215.0,1527.2483242005248
1588.5,2168.0,1548.5210791443546
1613.5,1414.0,1561.726826928124
1638.5,1030.0,1588.48790401718
1663.5,808.0,1615.9374433460803
1688.5,678.0,1645.4886674459
1713.5,496.0,1671.6372454243321
1738.5,368.0,1709.2856780342433
1763.5,194.0,1671.3714385671715
1788.5,123.0,1687.1248848767784
1813.5,65.0,1674.155410531851
1838.5,44.0,1724.7162891734731
1863.5,1131.0,1887.3868272209672
